run_idx,data_idx,success,total_time,mixin_steps,sampling_time,time_per_step,cnt_reject,max_semantic_progress,mean_ppl,mean_acceptance
0,0,True,27.737261323985877,52,10.086276845085774,0.5233445532827524,4,0.5142626070727587,163.01025829675064,7.809677459158987
1,0,False,77.02121844800422,143,77.02121844800422,0.5348695725555849,8,0.47219282423458603,475.90579944186743,1.1858748921917543
2,0,True,31.509575525007676,60,13.22080091958364,0.5165504184427487,1,0.5069845677547187,238.3144277979116,22.586120698784217
3,0,False,70.2939531969896,143,70.2939531969896,0.48815245275687225,9,0.39532305924414235,563.4165802796682,1.0764623052544064
4,0,True,44.12814314098796,83,25.612838326587415,0.5253350373927138,4,0.5097789691843273,246.19222627367293,2.1693273598239537
0,1,True,185.43022187898168,184,121.85414580618796,1.0023255236701714,9,0.5009812587720831,354.30279514209644,1.1086775857049065
1,1,True,240.52841821798938,247,212.1804260708692,0.969872654104796,9,0.5037946943004936,444.80293552337156,1.0704157792272107
2,1,False,270.43960395501927,280,270.43960395501927,0.9624185194128799,18,0.4777367566353829,518.2250960814995,1.0630410695415375
3,1,True,194.41835995702422,195,135.39850068435615,0.9919304079440011,6,0.5329894755738401,356.3580064384305,1.1011967397465998
4,1,True,230.31872359701083,235,193.30321444749123,0.9759267949025883,8,0.5067293615730474,480.93446254730225,1.095461694744684
0,2,False,68.31173501501326,136,68.31173501501326,0.4986258030292938,5,0.37050957033930126,538.7616364416415,1.0385740682156417
1,2,False,67.11988264400861,136,67.11988264400861,0.4899261506861943,4,0.4661678070302304,615.1036479977796,1.0432451093283883
2,2,False,67.18089906900423,136,67.18089906900423,0.4903715260511257,3,0.41361198599793547,709.0139150689118,1.0426413173223064
3,2,False,67.22806188699906,136,67.22806188699906,0.4907157801970734,4,0.4383030926429927,578.4514541625977,1.0513779242543408
4,2,False,66.91978651299723,136,66.91978651299723,0.4884655949853813,6,0.43312234240796793,614.4781663435219,1.0401523913780268
0,3,False,83.5063301520131,150,83.5063301520131,0.5530220539868418,7,0.3275887642430371,402.1052240788542,1.065467992365755
1,3,False,82.14379579399247,150,82.14379579399247,0.5439986476423342,11,0.2503975094846126,358.6041437616411,1.022623460616497
2,3,False,83.83398718899116,150,83.83398718899116,0.5551919681390143,12,0.4126388819484392,233.9059650597983,1.1803948610823676
3,3,False,88.85171132499818,150,88.85171132499818,0.5884219293046237,9,0.2949917570690763,369.9513009936604,1.0755841210977921
4,3,False,88.79882726600044,150,88.79882726600044,0.5880717037483473,2,0.2452164543573148,368.3935043132858,1.0676572427449638
0,4,False,51.64040985298925,123,51.64040985298925,0.41645491816926816,7,0.42927694879118505,459.17252399075414,1.1632708452882305
1,4,False,53.113766053982545,123,53.113766053982545,0.42833682301598824,9,0.49274603735382677,446.63963668577134,1.380735634796081
2,4,False,51.504904672008706,123,51.504904672008706,0.41536213445168313,11,0.314632381848655,634.21666372976,1.1211291561203618
3,4,False,54.52067299900227,123,54.52067299900227,0.4396828467661474,8,0.3589694935829004,625.1803684234619,1.1991837212154943
4,4,False,52.1907664439932,123,52.1907664439932,0.4208932777741387,8,0.33057753513177146,658.450268099385,1.0977558959876337
0,5,True,41.30321435601218,96,29.155210133655654,0.4258063335671358,14,0.5017528208236045,335.3592860428328,1.6614026980301768
1,5,False,61.083606539992616,136,61.083606539992616,0.4458657411678293,10,0.4906522853322188,453.9752584025808,1.1394341615756063
2,5,False,62.0438737780205,136,62.0438737780205,0.4528749910804416,12,0.40165673898983995,373.50727178754596,1.392903528726884
3,5,True,27.95576719698147,63,12.950098039778181,0.43680886245283546,3,0.5164620767873707,353.86140233278275,1.547112125903368
4,5,True,62.105208070977824,135,61.64855212927946,0.4566559416983664,10,0.5086022927996358,391.66993587157305,1.2698824296650641
0,6,False,175.30108568098512,238,175.30108568098512,0.7334773459455445,3,0.36099027972646297,519.2146540526066,1.0318847316079558
1,6,False,180.3547493200167,238,180.3547493200167,0.7546223820921201,4,0.2842565396977809,469.8052852742343,1.0182343892223167
2,6,False,182.95101475997944,238,182.95101475997944,0.7654854174057717,5,0.4571659477460236,431.45022602161106,1.0337860126625045
3,6,False,193.801461422001,238,193.801461422001,0.810884775824272,6,0.30104233694311966,482.96254873874295,1.017911126922863
4,6,False,188.09887146099936,238,188.09887146099936,0.7870245667824242,4,0.2785132647731842,602.0208481824548,1.020639452724776
0,7,False,64.1783354220097,143,64.1783354220097,0.44568288487506735,7,0.2344583799454741,535.9795151286655,1.0590251887010202
1,7,False,64.80792083300184,143,64.80792083300184,0.450055005784735,10,0.40492265003762146,669.071291923523,1.0618972107768059
2,7,False,65.33972545599681,143,65.33972545599681,0.4537480934444223,13,0.3890047413526,836.8883469899496,1.050515612380372
3,7,False,67.01820185699034,143,67.01820185699034,0.46540417956243296,15,0.48260534621079065,829.3788414531284,1.1744292461209827
4,7,False,64.96324909100076,143,64.96324909100076,0.45113367424306083,14,0.31824915045542507,763.8333239555359,1.0560640291207366
0,8,True,25.09808267900371,62,10.3738741739882,0.3983822647460906,6,0.5091031583894051,486.596443297371,1.3876938900304219
1,8,True,54.72765006800182,134,48.89003406074829,0.4053900005037172,14,0.5037551323375266,854.6270081696687,1.0789214771102975
2,8,False,61.543103473988594,150,61.543103473988594,0.40757022168204365,15,0.43957696104049837,926.2404461791184,1.203211813252296
3,8,False,62.934760240023024,150,62.934760240023024,0.41678649165578163,15,0.44303525725439197,1033.8604469551944,1.362589714345553
4,8,False,66.98110029599047,150,66.98110029599047,0.4435834456688111,16,0.42159970653078777,779.700317989122,1.108636852131774
